OuterFold,InnerFold,Test_Train_Overlap,Test_Val_Overlap,Train_Val_Overlap
fold_5,internal_fold_1,0,0,0
fold_5,internal_fold_2,0,0,0
fold_5,internal_fold_3,0,0,0
fold_1,internal_fold_1,0,0,0
fold_1,internal_fold_2,0,0,0
fold_1,internal_fold_3,0,0,0
fold_2,internal_fold_1,0,0,0
fold_2,internal_fold_2,0,0,0
fold_2,internal_fold_3,0,0,0
fold_3,internal_fold_1,0,0,0
fold_3,internal_fold_2,0,0,0
fold_3,internal_fold_3,0,0,0
fold_4,internal_fold_1,0,0,0
fold_4,internal_fold_2,0,0,0
fold_4,internal_fold_3,0,0,0
